01-01-2018|636231
02-01-2018|636232
03-01-2018|636233
04-01-2018|636234
05-01-2018|636235
06-01-2018|636236
07-01-2018|636237
08-01-2018|636238
09-01-2018|636239
10-01-2018|636240
11-01-2018|636241
12-01-2018|636242
13-01-2018|636243
14-01-2018|636244
15-01-2018|636245
16-01-2018|636246
17-01-2018|636247
18-01-2018|636248
19-01-2018|636249
20-01-2018|636250
21-01-2018|636251
22-01-2018|636252
23-01-2018|636253
24-01-2018|636254
25-01-2018|636255
26-01-2018|636256
27-01-2018|636257
28-01-2018|636258
29-01-2018|636259
30-01-2018|636260
31-01-2018|636261
01-02-2018|636262
02-02-2018|636263
03-02-2018|636264
04-02-2018|636265
05-02-2018|636266
06-02-2018|636267
07-02-2018|636268
08-02-2018|636269
09-02-2018|636270
10-02-2018|636271
11-02-2018|636272
12-02-2018|636273
13-02-2018|636274
14-02-2018|636275
15-02-2018|636276
16-02-2018|636277
17-02-2018|636278
18-02-2018|636279
19-02-2018|636280
20-02-2018|636281
21-02-2018|636282
22-02-2018|636283
23-02-2018|636284
24-02-2018|636285
25-02-2018|636286
26-02-2018|636287
27-02-2018|636288
28-02-2018|636289
01-03-2018|636290
02-03-2018|636291
03-03-2018|636292
04-03-2018|636293
05-03-2018|636294
06-03-2018|636295
07-03-2018|636296
08-03-2018|636297
09-03-2018|636298
10-03-2018|636299
11-03-2018|636300
12-03-2018|636301
13-03-2018|636302
14-03-2018|636303
15-03-2018|636304
16-03-2018|636305
17-03-2018|636306
18-03-2018|636307
19-03-2018|636308
20-03-2018|636309
21-03-2018|636310
22-03-2018|636311
23-03-2018|636312
24-03-2018|636313
25-03-2018|636314
26-03-2018|636315
27-03-2018|636316
28-03-2018|636317
29-03-2018|636318
30-03-2018|636319
31-03-2018|636320
01-04-2018|636321
02-04-2018|636322
03-04-2018|636323
04-04-2018|636324
05-04-2018|636325
06-04-2018|636326
07-04-2018|636327
08-04-2018|636328
09-04-2018|636329
10-04-2018|636330
11-04-2018|636331
12-04-2018|636332
13-04-2018|636333
14-04-2018|636334
15-04-2018|636335
16-04-2018|636336
17-04-2018|636337
18-04-2018|636338
19-04-2018|636339
20-04-2018|636340
21-04-2018|636341
22-04-2018|636342
23-04-2018|636343
24-04-2018|636344
25-04-2018|636345
26-04-2018|636346
27-04-2018|636347
28-04-2018|636348
29-04-2018|636349
30-04-2018|636350
01-05-2018|636351
02-05-2018|636352
03-05-2018|636353
04-05-2018|636354
05-05-2018|636355
